,company,date,title,salary,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Unknown
40,MedSource Consultants,2018-09,Hospitalist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Echo Locum Tenens,2018-09,HOSPITALIST NEEDED IN MARYLAND PICK UP SHIFTS AS SOON AS MID-MAY,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,Integrity Healthcare,2018-09,OB/GYN needed in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,New Outpatient Primary Care Opportunities in Maryland - Next to DC & Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Enterprise Medical Recruiting,2018-09,"FM/IM need 20 minutes from Washington, D.C.",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Enterprise Medical Recruiting,2018-09,Outpatient Psychiatry in Western Maryland - H1b and J1 Sponsorship Available,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
46,Integrity Healthcare,2018-09,Emergency Medicine Physician Opportunity- Western Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,"Hayman Daugherty Associates, Inc",2018-09,Gastroenterology Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,TeedCo. Healthcare Recruiting,2018-09,"D.C. Area: Major Academic Affiliation, Low Annual Hours. EM physician need for expansion",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Enterprise Medical Recruiting,2018-09,Attending Physician Emergency Medicine 15 miles N/E of DC in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,"Hayman Daugherty Associates, Inc",2018-09,Urgent Care Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,Enterprise Medical Recruiting,2018-09,"Outpatient FM/IM need in Towson, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,National Health Partners,2018-09,Hospital Employed Gastroenterologist Needed ,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,"Consilium Staffing, LLC",2018-09,"Hiring Physician ASAP, Gastroenterology—Maryland",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,Ascend Medical Staffing,2018-09,Bethesda MD Tele-Psychiatry - any state license,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,VeloSource,2018-09,"Democratic group seeks Emergency medicine physician for job opportunity in Maryland, $65K sign on",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,Physician Providers Mgmt. Corp.,2018-09,"Hospitalist wanted in Charles Co., MD.",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,"Hayman Daugherty Associates, Inc",2018-09,Hospitalist Physician Job Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,Integrity Healthcare,2018-09,NocturnistMaryland/DC area,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,"MD Staff Pointe, LLC",2018-09,Hospitalist Locums Maryland / DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,Continuum Medical Staffing,2018-09,Pediatrician Baltimore Suburbs MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,Wexford Health Sources,2018-09,"$25k Signing BonusRegional Medical Director in Cumberland, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Enterprise Medical Recruiting,2018-09,Northwestern Maryland Group Adding Ob/Gyn Physician,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,Samuel Contract Staffing,2018-09,We're looking for a MD or DO in Virginia/Washington DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,Echo Locum Tenens,2018-09,Maryland Inpatient Hospitalists needed near D.C.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,Enterprise Medical Recruiting,2018-09,Outpatient only Neurology position in water front Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,Enterprise Medical Recruiting,2018-09,"80K Sign-on Emergency Medicine Physician 30 Miles South of Alexandria, VA",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,RCM Health Care Services,2018-09,"URGENT CARE LOCUM PHYSICIANS NEEDED IN PA, WV, MA, AR, MD & MN",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,Continuum Medical Staffing,2018-09,Hospitalist Southern Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,TeedCo. Healthcare Recruiting,2018-09,Beautiful Western Maryland location,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,SourceMD,2018-09,IM Opportunity- Maryland- near DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Continuum Medical Staffing,2018-09,Internal Medicine Baltimore MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,TeedCo. Healthcare Recruiting,2018-09,"Washington DC area, Work Less, Earn More, Play More",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,"Hayman Daugherty Associates, Inc",2018-09,Emergency Medicine in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,Continuum Medical Staffing,2018-09,Neurology Fredrick MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,Echo Locum Tenens,2018-09,Inpatient hospitalist - MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,KPS Physician Staffing,2018-09,Family Practice/EM Physician Needed for Fast Track/Urgent Care Near the Beltway,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Enterprise Medical Recruiting,2018-09,"FM/IM Need in Silver Spring, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,Alpha Medical Group,2018-09,Growing multi-specialty group seeks OB/GYN physicians for two office locations in prime Washington DC suburbs.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,Enterprise Medical Recruiting,2018-09,Outpatient Internal Medicine Position,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,Echo Locum Tenens,2018-09,FAMILY PRACTICE HOSPITALISTS NEEDED IN MARYLAND,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,Alpha Medical Group,2018-09,Minimally Invasive Gynecological Surgery opportunity.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,Enterprise Medical Recruiting,2018-09,"FM/IM need in District Heights, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,Physician Services,2018-09,Hospitalist Baltimore MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,"Teladoc Physicians, P.A.",2018-09,Supplement Your Income - TELEMEDICINE,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,US Army 1st Medical Recruiting Battalion,2018-09,Family Practice,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,New GI Hospitalist Opportunity in Maryland - Next to DC & Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,"Hayman Daugherty Associates, Inc",2018-09,DC OBGYN with partnership track,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,Physician Providers Mgmt. Corp.,2018-09,Psychiatry position available in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,MedSource Consultants,2018-09,Adult Psychiatrist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,"Consilium Staffing, LLC",2018-09,Hiring Locum Tenens Cardiac Anesthesiologist ASAP—Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,Echo Locum Tenens,2018-09,Hospitalist Moonlighting/Locum Opportunity in Maryland QUICK CREDENTIALING,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,Echo Locum Tenens,2018-09,NEW SEEKING INTERNAL MEDICINE HOSPITALIST FOR MARYLAND QUICK CREDENTIALING,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,Goldfish Medical Staffing,2018-09,"Psychiatry Opportunity Near Washington, DC (9115 LM)",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,Elevate Healthcare Consultants,2018-09,"Psychiatry, Psychiatrist, Medical Director, Staff, Employed, Adult, Maryland",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,WESTERN MARYLAND LOCATION - CRNA OPPORTUNITY,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,Integrity Healthcare,2018-09,Psychiatrist Position in Western Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,"Hayman Daugherty Associates, Inc",2018-09,Gastroenterologist Opening in Metro Baltimore-Washington Area,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,Continuum Medical Staffing,2018-09,Hospitalist Southern MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,"Priority Physicians, Inc.",2018-09,100% Outpatient on the Eastern Shore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,Continuum Medical Staffing,2018-09,Gastroenterologist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,Post Acute Care Physician Needed in Southern Maryland - Near the Chesapeake Bay,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,Source Medical,2018-09,GI with Inflammatory Bowel Disease or ERCP/EUS Preferred,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
115,Alpha Medical Group,2018-09,Employed Gastroenterology position.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,MedSource Consultants,2018-09,Adult/Addiction Psychiatrist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,US Army 1st Medical Recruiting Battalion,2018-09,Army Reserve Obstetrician/Gynecologist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Enterprise Medical Recruiting,2018-09,"Internal Medicine need in Silver Spring, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,Source Medical,2018-09,Neurology opportunity near DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,All Star Recruiting,2018-09,"Great Practice for a Pediatrician in Maryland, Mainly Outpatient",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,TeedCo. Healthcare Recruiting,2018-09,Pediatric Hospitalist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,Alpha Medical Group,2018-09,Hospital employed outpatient practice.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
124,TeedCo. Healthcare Recruiting,2018-09,"DC AREA, High Acuity, Major Academic Affiliation, Low Annual Hours",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,Weatherby Healthcare,2018-09,Emergency Medicine in MD - Locums: Maryland Medical Facility Seeks Locums Emergency Medicine Physician,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,Integrity Healthcare,2018-09,Neurologist needed in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
127,Integrity Healthcare,2018-09,Traditional Internal Medicine Opening in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,Enterprise Medical Recruiting,2018-09,"Outpatient primary care need in Silver Spring, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,Multiple Maryland Opportunities,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,Continuum Medical Staffing,2018-09,OB GYN Silver Spring MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,Source Medical,2018-09,(Eastern Shore of MD) Adult Psych / Outpatient Only/ Visas OK,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,Enterprise Medical Recruiting,2018-09,Emergency Medicine Physician Near Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,Physician Providers Mgmt. Corp.,2018-09,OBGYN wanted North of DC Metro/Maryland Suburbs,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Enterprise Medical Recruiting,2018-09,"Urgent Care Physician, Locations between Baltimore/Wash DC",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
135,Continuum Medical Staffing,2018-09,Hospitalist Maryland Suburban DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,"Priority Physicians, Inc.",2018-09,Quality OBGYN Practice on the Potomac River,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
137,"Consilium Staffing, LLC",2018-09,Maryland Full Time Inpatient Psychiatrist,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,Echo Locum Tenens,2018-09,Moonlighters needed in MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,NHR,2018-09,DC/Baltimore Area Emergency Medicine need,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,VeloSource,2018-09,Permanent Emergency Medicine Opportunity in Maryland-New Grads Accepted,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,BAS Healthcare,2018-09,Top Paying Psych in Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,VeloSource,2018-09,"Democratic group seeks Emergency Medicine Physician for opportunity in Maryland, $65K sign on",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,"Hayman Daugherty Associates, Inc",2018-09,OBGYN needed in DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
144,Continuum Medical Staffing,2018-09,Urology Leonardtown MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
146,Continuum Medical Staffing,2018-09,Urologist Southern Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
147,"DOCTORS CHOICE PLACEMENT SERVICES, INC.",2018-09,New GI Opportunities (2) in Maryland - Next to DC & Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
148,Goldfish Medical Staffing,2018-09,"GI Hospitalist Opportunity in the Washington, D.C. Metropolitan Area (9559 LM)",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
149,Continuum Medical Staffing,2018-09,OB/ GYN Eldersburg Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,Physician Providers Mgmt. Corp.,2018-09,"Urologist wanted in Charles Co., MD.",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,All Star Recruiting,2018-09,OBGYN Opening less than an Hour and a Half from DC in Maryland Suburb,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
154,Medicus Healthcare Solutions,2018-09,Full-Time Hospitalist Opportunity in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
155,"MD Staff Pointe, LLC",2018-09,Hospitalist Locums Baltimore / DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,BAS Healthcare,2018-09,Maryland Inpatient Psychiatry Opening,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,Enterprise Medical Recruiting,2018-09,Employed Gastroenterology position in Berlin MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
158,Integrity Healthcare,2018-09,Anesthesiologist - Western Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,Continuum Medical Staffing,2018-09,Neurology Northern Baltimore Suburbs,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,Alpha Medical Group,2018-09,Urologist with training in Female Urology needed to join a large private practice on a partnership track.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
162,"Born & Bicknell, Inc.",2018-09,Outpatient Internal Medicine physician needed in MD will consider H1B Visas,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
163,Enterprise Medical Recruiting,2018-09,"Emergency Medicine Physician Near Gaithersburg, MD",0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
164,Continuum Medical Staffing,2018-09,Internal Medicine Waldorf MD,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,All Star Recruiting,2018-09,Full-time Gastroenterology opportunity available about an hour from Washington DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
167,Samuel Contract Staffing,2018-09,Physician for Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168,BAS Healthcare,2018-09,Annapolis Maryland has Adult Psychiatry opening,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
169,BAS Healthcare,2018-09,Suburbs of Baltimore Top Opening,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,BAS Healthcare,2018-09,Nocturnist Block Scheduled in Affluent Suburb of DC,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,Alpha Medical Group,2018-09,Private practice in the Mid-Atlantic Region is looking for two OB/GYN physicians to join them.,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,BAS Healthcare,2018-09,Join the most successful practice in the area,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
173,Enterprise Medical Recruiting,2018-09,Attending Physician Emergency Medicine 1 Hour S/E of DC in Maryland,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,Enterprise Medical Recruiting,2018-09,Attending Physician Emergency Medicine One hour North of Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,BAS Healthcare,2018-09,Medical Director Role - Top Compensation Minutes from Baltimore,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,Britt Medical Search,2018-09,Established Pediatric Practice Minutes Outside Washington DC seeks a Fifth Pediatrician,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
178,All Star Recruiting,2018-09,Pain Management need in the metro Washington D.C. area - No Call or Weekends,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
179,"MedCare Staffing, Inc.",2018-09,Primary Care/IM/FP VA need,0,Healthcare & Nursing Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
