,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
33,Tesla,2018-11-01,"Service Technician - Nashville, Tennessee (Brentwood)",Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Tesla,2018-11-01,"Parts Advisor - Nashville, TN (Brentwood)",Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Siemens,2018-11-01,"Engineering Specialist II - Building Automation/HVAC Controls - Nashville, TN","Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Tesla,2018-11-01,Vehicle Prep Specialist (VPS),Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Tesla,2018-11-01,"Mobile Service Technician - Memphis, TN",Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Siemens,2018-11-01,"Fire Alarm Inspector - Commercial Fire Alarms - Nashville, TN","Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Tesla,2018-11-01,Customer Experience Specialist,Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Tesla,2018-11-01,"Service Technician - Nashville, TN (Brentwood)",Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Tesla,2018-11-01,Owner Advisor,Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Tesla,2018-11-01,"Mobile Service Technician - Nashville, TN (Brentwood)",Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Tesla,2018-11-01,Delivery Experience Specialist,Engineering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,HealthStream,2018-11-01,"Director of Product Architecture, Business Intelligence",Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,HealthStream,2018-11-01,Senior Director - Corporate Development,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Cross Technologies Inc,2018-11-01,Account Manager- Process Control Integration,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,HealthStream,2018-11-01,Sr. Systems Engineer,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,HealthStream,2018-11-01,Sales - Solution Executive - Talent Managment,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Wood,2018-11-01,Construction Inspector / Materials Technician,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Wood,2018-11-01,Junior Water Resources Engineer,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Wood,2018-11-01,Administrative Assistant,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Wood,2018-11-01,GIS Analyst,"Energy, Oil & Gas Jobs",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Weekends-$1300$1800/week-Flatbed Exp Required",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55,Healthstream,2018-11-01,Sales - Clinical Specialist Onboarding & Retain,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
58,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,CoreCivic,2018-11-01,Workforce Management Analyst,IT Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ergomed PLC,2018-12-01,Clinical Project Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
63,ContinuumGlobal,2018-12-01,Project Manager (Digital Marketing-Nashville),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,ContinuumGlobal,2018-12-01,Associate Project Manager (Nashville),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
65,"FreshPoint, Inc.",2018-12-01,Delivery Driver - MEMPHIS,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,HealthStream,2018-12-01,Accreditation and OSHA Standards Courseware Author,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,HealthStream,2018-12-01,Senior Systems Engineer,HR & Recruitment Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Orkin,2018-12-01,Termite Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,Orkin,2018-12-01,Outside Sales Professional,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71,Healthstream,2018-12-01,BI Developer,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Critter Control,2018-12-01,Wildlife Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,Critter Control,2018-12-01,Wildlife Service Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,CoreCivic,2018-12-01,Business Systems Administrator-SQL,IT Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76,"JAS Forwarding , Inc.",2018-12-01,Customs Entry Specialist,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,DFOX LLC / Jani King Commercial Cleaning Services,2018-12-01,Janitorial Office Cleaner,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Menzies Aviation,2018-12-01,Fueler,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,VE Inc   Nashville,2018-12-01,OTR Company Driver (FT),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Private Apparel Company,2018-12-01,"Outside Sales Representative (Covering AR, KA, KY, MO, MS, TN territo)",Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,CoreCivic,2018-12-01,"Senior Paralegal, Contract Management and Corporate Services",Legal Jobs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,CoreCivic,2018-12-01,Registered Nurse (PRN),Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,"JAS Forwarding , Inc.",2018-12-01,Branch Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,Prime Drivers Staffing,2018-12-01,Yard Switcher,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,Legend Brands,2018-12-01,Warehouse Worker,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
87,TruckerTime Xpress,2018-12-01,Copy of CDL-A Hazmat/Tanker Driver,HR & Recruitment Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BCG Attorney Search,2018-12-01,Consumer Bankruptcy Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,828 Newquest LLC,2018-12-01,RN Embedded Care Coordinator - North Downtown Nashville,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,828 Newquest LLC,2018-12-01,Senior Segment HEDIS Lead (Quality Manager),Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,091 Cigna Health & Life Ins. Co.,2018-12-01,Quality Clinical Management Sr Manager (Seniors Segment) - Work at Home,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,828 Newquest LLC,2018-12-01,Special Needs Plan Administrator of Operations - Work At Home,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Sarah Cannon Network,2018-12-01,Senior Project Manager - Work From Home,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,HCA Corporate,2018-12-01,Assistant Vice President Strategy & Innovation,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,United Auto Credit Corporation,2018-12-01,Outside Sales- Base Salary Uncapped Commission,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,"Francesca's Collections, Inc.",2018-12-01,Key Holder,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,821 HealthSpring Inc,2018-12-01,"Pharmacy Technician- Nashville, TN",Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Francesca's Service Corporation,2018-12-01,Key Holder - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,TruckerTime Xpress,2018-12-01,Regional Driver Home Weekly,HR & Recruitment Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"Francesca's Collections, Inc.",2018-12-01,Assistant Store Manager - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,US Department of the Interior,2018-12-01,Administrative Operations Assistant (DE-NN),Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,HealthStream,2018-12-01,Success Manager,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,827 HealthSpring Mgmt of America L,2018-12-01,Clinical Pharmacist (Cigna-HealthSpring) – Operations Readiness,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Francesca's Service Corporation,2018-12-01,Assistant Store Manager - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,HILLER LLC,2018-12-01,Plumbing Re-pipe and Installation up to $25 hourly- Nashville,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,XPO Logistics SC Corporate,2018-12-01,Industrial Engineer,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,R1 RCM,2018-12-01,Patient Registration Representative - St. Thomas,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
108,U.S. Renal Care,2018-12-01,Reimbursement Representative,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,Land O'Lakes Inc.,2018-12-01,Housekeeping-First Shift,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,Usa Survey Job,2018-12-01,Data Entry - Part Time,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Usa Survey Job,2018-12-01,Data Entry Clerk,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Usa Survey Job,2018-12-01,Work at Home - Administrative Assistant,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Usa Survey Job,2018-12-01,Data Entry Work from Home,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Penske,2018-12-01,Diesel Technician/Mechanic III - Entry Level,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,Penske,2019-01-01,Diesel Technician/Mechanic - Part-Time,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,"XPO Logistics, Inc.",2019-01-01,Facilities Engineering Project Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
117,Logistic Dynamics Inc.,2019-01-01,Freight Broker Agent - Experience Required,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,Canada Survey Job,2019-01-01,Data Entry Clerk - Customer Service - Work from Home,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
119,Best Buy,2019-01-01,Sales Consultant - Comp,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
120,Best Buy,2019-01-01,Connected Devices Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121,R1 RCM,2019-01-01,Patient Registration Representative - St. Thomas Midtown,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
122,"XPO Logistics, Inc.",2019-01-01,Freight Operations Supervisor,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,Miller Way,2019-01-01,Marketing Manager (Remote),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,UsaSurveyJob,2019-01-01,Data Entry Clerk - Work from Home,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
125,O'Reilly Auto Parts,2019-01-01,Warehouse Worker - Material Handler,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,Best Buy,2019-01-01,Best Buy - Google Expert,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,HILLER LLC,2019-01-01,"HVAC Service Technician up to $25 hourly - Nashville, TN",Maintenance Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,HILLER LLC,2019-01-01,HVAC Install Technian up to $25 hourly- Nashville,Maintenance Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,828 Newquest LLC,2019-01-01,Nurse Practitioner,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Best Buy,2019-01-01,Sales Consultant - Home Theater,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
131,Extended Stay America,2019-01-01,KAI ESA Housekeeper Full Time-101060,Hospitality & Catering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,CoreCivic,2019-01-01,Correctional Officer – Nashville Regional Area,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,CoreCivic,2019-01-01,Correctional Officer,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,J. Crew,2019-01-01,"Assistant Manager, Madewell, The Mall at Green Hills",Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,J. Crew ,2019-01-01,"Assistant Manager, Madewell, The Mall at Green Hills",Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Averitt Express,2019-01-01,Freight Clerk,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,Army National Guard,2019-01-01,15T UH-60 Utility Helicopter Repairer,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138,Army National Guard,2019-01-01,35G Imagery Analyst,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,Averitt Express,2019-01-01,IS Developer,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,Lee Company,2019-01-01,Sheet Metal Foreman (Fabrication),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
141,Robert Half International,2019-01-01,Recruiting Manager RH Finance and Accounting,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
142,Lee Company,2019-01-01,Plumber (Fabrication),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,Lee Company,2019-01-01,Sheet Metal Helper - Fabrication Shop,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,Lee Company,2019-01-01,Sheet Metal Mechanic (Fabrication),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,Lee Company,2019-01-01,Plumbing Foreman,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
146,HealthStream,2019-01-01,Onboarding Specialist,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,HealthStream,2019-01-01,Systems Developer,Healthcare & Nursing Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Lee Company,2019-01-01,Sheet Metal Mechanic (Fabrication) - Second Shift,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,Lee Company,2019-01-01,Sheet Metal Shop Supervisor,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,Lee Company,2019-01-01,Plumbing Helper - Fabrication Shop,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
