,company,date,title,salary,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Unknown
55,"Jobelephant.com, Inc.",2018-10-01,"Assistant Vice President for Budget, Planning and Analysis/University Budget Officer",0,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,Sears Holdings Corporation,2018-11-01,Loss Prevention Associate,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,Community Memorial Health System,2018-11-01,Medical Assistant - CFH Camarillo,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Dignity Health,2018-11-01,Occupational Therapist I,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dignity Health,2018-11-01,Clinical Lab Scientist II,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Dignity Health,2018-11-01,Director of Nursing (Sub-Acute),0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Tory Burch,2018-11-01,Sales Associate - Full Time - Camarillo,0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,Ralph Lauren,2018-11-01,"Sales Associate, Camarillo - Polo Factory Store - 5567570",0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,"Tapestry, Inc.",2018-11-01,Sales Associate - Camarillo,0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,CapitalSource,2018-11-01,"VP, Relationship Manager - Pacific Western Bank (Camarillo, CA)",0,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ralph Lauren,2018-11-01,"Associate Manager, Camarillo - Polo Factory Store - 5559482",0,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,Dignity Health,2018-11-01,Admin Supervisor-Nights,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,KFC,2018-11-01,KFC Shift Supervisor,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Fairfield Residential LLC,2018-11-01,Resident Services Coordinator,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"Del Taco Restaurants, Inc.",2018-11-01,Shift Manager 01-048-0936 Camarillo CA,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Domino's Pizza,2018-11-01,Assistant Manager(07859) - 3661 Las Posas,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,"Tapestry, Inc.",2018-11-01,Associate Manager - Camarillo,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Simon,2018-11-01,Shift Supervisor - Pink's Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,"Del Taco Restaurants, Inc.",2018-11-01,General Manager 01-048-0936 Camarillo CA,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,"Tapestry, Inc.",2018-11-01,Assistant Manager - Camarillo,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Del Taco Restaurants, Inc.",2018-11-01,Assistant General Manager 01-048-0936 Camarillo CA,0,Customer Services Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Tapestry, Inc.",2018-11-01,Stock Associate - Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Oakmont Management Group,2018-11-01,Marketing Director - Oakmont of Camarillo,0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,Panther Premium Logistics,2018-11-01,"OTR Team Tractor Drivers: New $18,000 sign-on bonus",0,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,MaddieBrit Products,2018-11-01,Sales Coordinator for CPG Company,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Brooks Brothers,2018-11-01,"Store Associate, Part Time- Camarillo, CA",0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,OSI Systems,2018-11-01,"Director, Sales & Marketing",0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,"Brooks Brothers Group, Inc",2018-11-01,"Store Associate, Part Time- Camarillo, CA",0,Manufacturing Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,"J.Crew Group, Inc.",2018-11-01,"Assistant Manager (Part-Time), J.Crew Factory, Camarillo Premium",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Tesla,2018-11-01,Sr. Field Service Associate,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Tesla,2018-11-01,Field Service Licensed Electrician Crew Lead,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Tesla,2018-11-01,Lead Field Service Associate,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Tesla,2018-11-01,Field Service Crew Lead,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Tesla,2018-11-01,Field Service Associate,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"Comfort Keepers Home Care   Newbury Park, CA",2018-11-01,"Caregiver, Companion or Homemaker",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,American Red Cross,2018-11-01,Regional Volunteer Services Officer,0,Social work Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,Luxottica Group,2018-11-01,Sunglass Hut - Sales Associate,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,Ensign Group,2018-11-01,Licensed Vocational Nurse - LVN - Camarillo Healthcare Center,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Molex,2018-11-01,Webmaster & Marketing/Communications Associate,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Paysafe,2018-11-01,Inside Sales Representative,0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
95,Technicolor,2018-11-01,"Director, Supply Chain, Major Studios",0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,California State University System,2018-11-01,Public Safety Officer I,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
97,California State University System,2018-11-01,Police Officer Cadet - non represented,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,California State University System,2018-11-01,Dean of the John Spoor Broome Library,0,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
99,California State University System,2018-11-01,Manager of Institutional Equity,0,HR & Recruitment Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Dignity Health,2018-11-01,Pharmacy Tech II,0,Scientific & QA Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,ProCare Therapy,2018-11-01,SLP- Telespeech Job- Full Time,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Nesco Resource,2018-11-01,Software Configuration Build Engineer - Secret Clearance,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Nesco Resource,2018-11-01,Sr. Software Development Engineer - Secret Clearance,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Carpenter,2018-11-01,Quality Manager,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,OSI Systems,2018-11-01,Manufacturing Engineer,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"OmniUpdate, Inc.",2018-11-01,"Senior Account Manager, Team Lead",0,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,Soliant Health,2018-11-01,Occupational Therapist,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,Soliant Health,2018-11-01,California SLP Full Time Job Opening,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,OTJobs.com,2018-11-01,Occupational Therapist,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Stantec Inc.,2018-11-01,Senior Civil Engineer,0,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Dignity Health,2018-11-01,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Dignity Health,2018-11-01,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,gogokid,2018-11-01,Online ESL Teacher (K-6 Students),0,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
114,VITAS Healthcare,2018-12-01,Registered Nurse,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,VITAS Healthcare,2018-12-01,Registered Nurse (RN) - Home Care California,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Care.com,2018-12-01,"Looking For A Pet Sitter For 1 Dog, 3 Cats In Camarillo",0,Social work Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,Carpenter Technology,2018-12-01,Business Developer - Technical Sales,0,Sales Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
118,Ensign Group,2018-12-01,Registered Nurse - RN - Camarillo Healthcare Center,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Brandes Associates,2018-12-01,Tools Software Engineer,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Department of the Treasury,2018-12-01,Revenue Officer 12 Month Roster,0,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Doordash,2018-12-01,Delivery Driver (part or full time) with DoorDash - Make up to 19/hour,0,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,One Staff Medical,2018-12-01,Travel Registered Nurse RN Operating Room OR - Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,One Staff Medical,2018-12-01,Travel Registered Nurse RN Medical Surgical Telemetry - Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,One Staff Medical,2018-12-01,Travel Registered Nurse RN Intensive Care Unit ICU - Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Revature,2018-12-01,Entry Level Software Engineer,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Modis,2018-12-01,"Manager, Quality Improvement",0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Modis,2018-12-01,Sr. Business Systems Analyst,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Modis,2018-12-01,Sr. Business Systems Analyst,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Modis,2018-12-01,"Manager, Quality Improvement",0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Allied Universal Security,2018-12-01,Hospital Security Officer - Part Time Evening Shift,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,Allied Universal Security,2018-12-01,Hospital Security Officer - Part Time Night Shift,0,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,Home Depot,2018-12-01,Home Srvs Project Specialist - Camarillo,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,Crescent Solutions Inc,2018-12-01,Production Manager,0,IT Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,CVS Health,2018-12-01,Retail Store Manager - Camarillo Area 08 Region 66 District 05,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,William Warren Group,2018-12-01,Assistant Manager,0,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
136,Ensign Group,2018-12-01,Certified Nursing Assistant - CNA - Camarillo Healthcare Center,0,Healthcare & Nursing Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,OneStaff Medical,2018-12-01,Travel Registered Nurse RN Intensive Care Unit ICU,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,OneStaff Medical,2018-12-01,Travel Registered Nurse RN Medical Surgical Telemetry,0,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
