,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Charity & Voluntary Jobs,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Sales Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
45,Siemens,2018-11-01,Senior Project Manager - Intelligent Traffic Systems,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Siemens,2018-11-01,Senior Bid Manager - Intelligent Traffic Systems,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,E.ON,2018-11-01,Remote Operations Specialist,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,E.ON,2018-11-01,Legal Billing Coordinator - Paralegal,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,E.ON,2018-11-01,Lease Asset and Compliance Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,E.ON,2018-11-01,"Manager, Project Management","Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Aegion,2018-11-01,Regional Sales Engineer,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Under Armour,2018-11-01,Senior Android Engineer,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,Ferrellgas,2018-11-01,Local Class A Driver (Southeast Austin),"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Ferrellgas,2018-11-01,Local CDL Delivery Driver (Southeast Austin),"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,E.ON,2018-11-01,Operations Engineer - Solar,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ferrellgas,2018-11-01,Senior Service Technician,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Wood,2018-11-01,PD&E Service Line Head Americas,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Siemens,2018-11-01,"Remote Energy Engineer - Building Technologies - Austin, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Siemens,2018-11-01,Senior ATMS Sales Engineer - Intelligent Traffic Solutions,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Siemens,2018-11-01,Senior Test Engineer - Intelligent Traffic Systems,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Tesla,2018-11-01,Memory Controller RTL Design Engineer,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Tesla,2018-11-01,Installer,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Tesla,2018-11-01,Energy Advisor,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Tesla,2018-11-01,Customer Experience Specialist,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Siemens,2018-11-01,Engineering Development Manager - Intelligent Traffic Solutions,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Tesla,2018-11-01,Service Advisor,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Tesla,2018-11-01,Senior Firmware Engineer - Autopilot,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Siemens,2018-11-01,Project Manager - Buildng Automation Solutions - Austin TX,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Tesla,2018-11-01,Licensed Electrician,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Tesla,2018-11-01,Orientation Specialist,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Tesla,2018-11-01,"Mobile Service Technician - Austin, TX area",Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Tesla,2018-11-01,Gallery Advisor,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Tesla,2018-11-01,Design Verification Engineer,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Tesla,2018-11-01,CPU RTL Design Engineer,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Tesla,2018-11-01,Construction Manager - Supercharger,Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"The Paradies Shops, LLC",2018-11-01,Hut's Hamburgers Bartender,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
77,Edward Jones,2018-11-01,"Branch Office Administrator - 15921 - Austin, TX",Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,"The Paradies Shops, LLC",2018-11-01,Hut's Hamburgers Cook,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
79,"Paradies Atlanta,LLC",2018-11-01,Airport Retail Warehouse Associate,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80,"The Paradies Shops, LLC",2018-11-01,Airport Retail Sales Associate,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81,"The Paradies Shops, LLC",2018-11-01,Host- Second Bar and Kitchen,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,Sears Outlet Stores L.L.C.,2018-11-01,Merchandise Processor,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,"Paradies Atlanta,LLC",2018-11-01,Berry Austin Fro Yo Associate,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,"The Paradies Shops, LLC",2018-11-01,Salad Artist - Mad Greens,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,"The Paradies Shops, LLC",2018-11-01,Hut's Hamburgers Server,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,Sears Outlet Stores L.L.C.,2018-11-01,Pricing & Merchandise Specialist,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,Equinor,2018-11-01,Automation & I&E Technical Professional,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Equinor,2018-11-01,Senior/Principal Analyst Supply Chain,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Leidos,2018-11-01,Software Quality Assurance and Test Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Leidos,2018-11-01,Programmatic Security Officer,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Leidos,2018-11-01,Chief Technology Officer - VA IOSS Program,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Leidos,2018-11-01,Chief Information Security Consultant (CISC),"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Exelon,2018-11-01,Intern,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Leidos,2018-11-01,Technical Lead Program Manager,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"The Paradies Shops, LLC",2018-11-01,Second Bar and Kitchen Server,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,"The Paradies Shops, LLC",2018-11-01,Cook,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
98,BMS Unlimited,2018-11-01,""" Class A Truck Driver-Home Weekends-$1300$1800/week-Flatbed Exp Required",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,Siemens,2018-11-01,Design Engineer II - Fire & Security Systems (NICET II),"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,WORKFORCE,2018-11-01,Direct Sales and Management,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,Sears Outlet Stores L.L.C.,2018-11-01,Retail Sales Lead-Base Pay  Commission & Bonus Potential,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,contact 12021,2018-11-01,Race Services Mechanic,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,Under Armour,2018-11-01,Ad Ops Specialist,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
107,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,"The Paradies Shops, LLC",2018-11-01,Prep Cook,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,"D.R. Horton, Inc.",2018-11-01,Quality Control Auditor II,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"Stocked Robotics, Inc.",2018-11-01,Autonomous Robotics Software Engineer (Perception and Navigation),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Sunroom,2018-11-01,Real Estate Agent at Sunroom,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Emerson Electric Co,2018-11-01,DeltaV Senior Software Development Engineer in Test,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"The Paradies Shops, LLC",2018-11-01,Departure Lounge/Ruta Maya Barista,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
115,Create a Cig,2018-11-01,Kratom Packer,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Guild Mortgage Company,2018-12-01,Transaction Coordinator (Lead to Contract),Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,Macquarie Group,2018-12-01,Asset Manager (Conventional Energy),Consultancy Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"D.R. Horton, Inc.",2018-12-01,Customer Service Assistant,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,"Paradies Shops, L.L.C.",2018-12-01,Airport Area Sales Manager,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,Emerson Electric Co,2018-12-01,Application Security Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Emerson Electric Co,2018-12-01,Instructor - Curriculum Developer,"Energy, Oil & Gas Jobs",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"D.R. Horton, Inc.",2018-12-01,Closing Document Review Spc,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,"Paradies Atlanta,LLC",2018-12-01,Thundercloud Subs Sandwich Artist,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,Rollins,2018-12-01,Branch Manager Trainee,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
127,HomeTeam Pest Defense,2018-12-01,Outside Service Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,"The Paradies Shops, LLC",2018-12-01,Hut's Hamburgers FOH Supervisor,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,"The Paradies Shops, LLC",2018-12-01,Departure Lounge Supervisor,Hospitality & Catering Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,"Paradies Shops, L.L.C.",2018-12-01,Floor Supervisor,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
131,Emerson Electric Co,2018-12-01,User Experience Designer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,Help.com LLC,2018-12-01,Senior Software Engineer (Backend – Node.js),Engineering Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Kaynes Technology,2018-12-01,DevOps Engineer,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Kaynes Technology,2018-12-01,Java/J2EE Architect,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,Jenny Craig Weight Loss Center,2018-12-01,Health and Wellness Consultant (PT),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,Kapsch TrafficCom USA,2018-12-01,Technical Delivery Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,Little Land Play Gym Franchise,2018-12-01,Gym Assistant/Customer Service,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Soluta,2018-12-01,Application Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,Hanes Companies,2018-12-01,Technical Sales Representative,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Natera,2018-12-01,Customer Care Tier 1 Specialist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,SpectrumAM,2018-12-01,Compliance Driver- HOA Site Management,Property Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
144,Critter Control,2018-12-01,Nuisance Wildlife Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,BSA LifeStructures Inc.,2018-12-01,Summer 2019 Internship - Architecture,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,LSC Communications,2018-12-01,Account Integration Specialist 2,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
147,BSA LifeStructures Inc.,2018-12-01,Summer 2019 Internship - Interior Design,Customer Services Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Pitney Bowes,2018-12-01,Driver I (Non CDL),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
149,Emerson Electric Co,2018-12-01,Software Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,Leading Edge Worldwide,2018-12-01,OSP Engineer,IT Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
151,"Technovision, Inc.",2018-12-01,"Junior Technical writer - 6m Contract - Austin, TX - A2813A_1",Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
