,company,date,title,All_Sectors,Admin Jobs,Engineering Jobs,Healthcare & Nursing Jobs,Logistics & Warehouse Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Retail Jobs,Sales Jobs,Teaching Jobs,Unknown
64,Penske,2019-01-01,Diesel Technician/Mechanic III - Entry Level,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
65,UsaSurveyJob,2019-01-01,Data Entry Clerk - Work from Home,Retail Jobs,0,0,0,0,0,0,1,0,0,0
66,Best Buy,2019-01-01,Best Buy Mobile Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
67,Unyts,2019-01-01,Donor Screening Coordinator,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
68,Unyts,2019-01-01,Donor Relations Specialist,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
69,Unyts,2019-01-01,Component Technician,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
70,Unyts,2019-01-01,Screener/Phlebotomist,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
71,Valu Home Centers,2019-01-01,Management Trainee,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
72,Army National Guard,2019-01-01,92A Automated Logistical Specialist - Supply Chain,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
73,Army National Guard,2019-01-01,12N Horizontal Construction Engineers,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
74,Unyts,2019-01-01,Director of Eye and Tissue Services,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
75,Unyts,2019-01-01,Courier/Inventory Assistant,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
76,WellCare,2019-01-01,Behavioral Health Care ManagerBuffalo NY,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
77,Saturn Freight Systems,2019-01-01,Transportation Sales Professionals - Full-Time & P/T - Home Office - Salary W/Comm. or Comm. Only,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
78,Worldwide Logistic Partners Inc,2019-01-01,Logistics Sales Professionals - Home Office,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
79,Penske,2019-01-01,Customer Service Representative (Fueler/Washer/Detailer),Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
80,DHL Global Forwarding,2019-01-01,Customs Brokerage Operations Manager,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
81,Centers Health Care,2019-01-01,CNA Team Member- Weekends,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
82,Centers Health Care,2019-01-01,CNA Team Member  NEW HIGHER RATES,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
83,ACV Auctions,2019-01-01,Titles Administrator,Sales Jobs,0,0,0,0,0,0,0,1,0,0
84,Francesca's Service Corporation,2019-01-01,District Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
85,BCG Attorney Search,2019-01-01,Litigation Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
86,BCG Attorney Search,2019-01-01,Corporate Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
87,Windsong Radiology Group,2019-01-01,Payroll Coordinator,Unknown,0,0,0,0,0,0,0,0,0,1
88,Windsong Radiology Group,2019-01-01,Billing Supervisor,Unknown,0,0,0,0,0,0,0,0,0,1
89,"USA   Smith & Nephew, Inc.",2019-01-01,Account Manager,Healthcare & Nursing Jobs,0,0,1,0,0,0,0,0,0,0
90,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
91,BCG Attorney Search,2019-01-01,Business Transactions Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
92,Army National Guard,2019-01-01,91L Construction Vehicle Repairer,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
93,Army National Guard,2019-01-01,25N Nodal Network Systems Operator-Maintainer,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
94,Army National Guard,2019-01-01,74D Chemical Operations Specialist,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
95,Army National Guard,2019-01-01,68W Health Care Specialist,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
96,Army National Guard,2019-01-01,91F Small Arms/Artillery Repairer,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
97,Army National Guard,2019-01-01,31B Military Police - Police Officer,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
98,Army National Guard,2019-01-01,92G Food Service Specialist,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
99,Windsong Radiology Group,2019-01-01,IR Authorization Specialist,Unknown,0,0,0,0,0,0,0,0,0,1
100,Francesca's Service Corporation,2019-01-01,Retail Sales Associate,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
101,"TPS Parking Management, LLC",2019-01-01,Driver On call,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
102,"TPS Parking Management, LLC",2019-01-01,"Cashier, On Call, $12.00 / hour","PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
103,Avis Budget Group,2019-01-01,Supply Chain Manager,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
104,Army National Guard,2019-01-01,91J Quartermaster and Chemical Equipment Repairer,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
105,Avis Budget Group,2019-01-01,Operations Manager Trainee,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
106,HPE,2019-01-01,"SMB Sales Strategy Manager, WW Distribution","PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
108,Logistic Dynamics Inc.,2019-01-01,Freight Broker Agent - Experience Required,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
109,Penske,2019-01-01,Maintenance Manager Trainee,Logistics & Warehouse Jobs,0,0,0,1,0,0,0,0,0,0
110,Best Buy,2019-01-01,Geek Squad Consultation Agent,"PR, Advertising & Marketing Jobs",0,0,0,0,0,1,0,0,0,0
111,Spectrum,2019-01-01,Operations Manager - Spectrum News Buffalo,Teaching Jobs,0,0,0,0,0,0,0,0,1,0
