,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Creative & Design Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Legal Jobs,Logistics & Warehouse Jobs,Maintenance Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Part time Jobs,Property Jobs,Retail Jobs,Sales Jobs,Scientific & QA Jobs,Social work Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
10,Indian River Transport,2018-04-01,CDL-A Team Driver Truck Driving Job Hiring Now,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Indian River Transport,2018-04-01,CDL-A Western Regional Tanker Truck Drivers Needed - 95 Percent No Touch Freight,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Indian River Transport,2018-04-01,CDL-A Regional Driver Truck Driving Job Hiring Now,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Indian River Transport,2018-04-01,CDL-A OTR Driver Truck Driving Job Hiring Now,Logistics & Warehouse Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Arcata Associates,2018-04-01,"Scientist II, Engineer",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Bahama Breeze,2018-04-01,Line Cook,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,The Capital Grille,2018-04-01,Server,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,CRACKER BARREL,2018-04-01,Dishwasher,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Bahama Breeze,2018-04-01,Greeter,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,CVS Health,2018-04-01,Beauty Consultant,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,The Capital Grille,2018-04-01,Saute/Broiler Cook,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Dollar General,2018-04-01,"LEAD SALES ASSOCIATE-FT in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,Dominos,2018-04-01,Delivery Driver(07460) - 2085 N Jones Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,Dominos,2018-04-01,Customer Service Rep(07450) - 4966 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,Dominos,2018-04-01,Assistant Manager(07450) - 4966 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Dominos,2018-04-01,"Customer Service Rep(07459) -4150 Boulder Hwy,",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Dominos,2018-04-01,Customer Service Rep(07458) - 6101 W Charleston Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Dominos,2018-04-01,Customer Service Rep(07495) - 6441 N Durango Dr,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Entercom Communications,2018-04-01,Part Time On Air KLUC,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,Bahama Breeze,2018-04-01,Bartender,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,"Cal Pac Painting of Nevada, Inc.",2018-04-01,Accounts Receivable,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,The Capital Grille,2018-04-01,Dishwashers,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,The Capital Grille,2018-04-01,Cold Station Cook,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,The Capital Grille,2018-04-01,Server Assistant,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,Dominos,2018-04-01,Customer Service Rep(09038) - 5831 E Charleston,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,Chipotle Mexican Grill,2018-04-01,Kitchen Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Bahama Breeze,2018-04-01,Prep Cook,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,"Clark County, NV",2018-04-01,SENIOR ENGINEERING TECHNICIAN,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,CRACKER BARREL,2018-04-01,Retail Sales,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,The Capital Grille,2018-04-01,Food Runner,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,DaVita,2018-04-01,Laborist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,Chipotle Mexican Grill,2018-04-01,Service Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,Dollar General,2018-04-01,"LEAD SALES ASSOCIATE-PT in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,CRACKER BARREL,2018-04-01,Server,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,Dominos,2018-04-01,Customer Service Rep(07461) - 4515 E Bonanza Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,Dominos,2018-04-01,Assistant Manager(07455) - 4604 W Sahara Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,Dominos,2018-04-01,Assistant Manager(07272) - 9435 W Tropicana Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Dominos,2018-04-01,Customer Service Rep(07453) - 3266 Las Vegas Blvd N,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,Dominos,2018-04-01,Customer Service Rep(07272) - 9435 W Tropicana Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,Dominos,2018-04-01,Delivery Driver(07418) - 7591 N Cimarron Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,Dominos,2018-04-01,Delivery Driver(07468) - 8532 Del Webb Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,Dominos,2018-04-01,Customer Service Rep(07457) - 2585 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,Dominos,2018-04-01,Delivery Driver(07443) - 5355 S Decatur Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Fabulous Freddys Car Wash,2018-04-01,Cashier - Durango,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,Fabulous Freddys Car Wash,2018-04-01,Gas Attendant - Ft Apache,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Fabulous Freddys Car Wash,2018-04-01,Cashier - Ft Apache,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,Fabulous Freddys Car Wash,2018-04-01,Cashier - Montecito,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Fabulous Freddys Car Wash,2018-04-01,Car Wash - Summerlin,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,Fabulous Freddys Car Wash,2018-04-01,Cashier - Summerlin,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,DaVita,2018-04-01,Generalist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,Watkins & Shepard Trucking Inc,2018-04-01,EXPERIENCED CDL-A TRUCK DRIVER; OVER THE ROAD - Get paid for your years of experience  Watkins & Shepard Trucking,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Dominos,2018-04-01,Delivery Driver(09030) - 4860 Blue Diamond Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,Dominos,2018-04-01,Customer Service Rep(07456) - 3395 E Tropicana Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Dollar General,2018-04-01,"SALES ASSOCIATE in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Dominos,2018-04-01,Delivery Driver(07455) - 4604 W Sahara Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,Dominos,2018-04-01,Customer Service Rep(07468) - 8532 Del Webb Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Dominos,2018-04-01,Customer Service Rep(07460) - 2085 N Jones Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Dominos,2018-04-01,Delivery Driver(07453) - 3266 Las Vegas Blvd N,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,CORT,2018-04-01,"Delivery Driver, Trade Show/Event-NV ($60K Earning Potential)",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,Dominos,2018-04-01,Delivery Driver(07464) - 8508 W Sahara Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,Dominos,2018-04-01,Assistant Manager(07443) - 5355 S Decatur Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,Dominos,2018-04-01,Customer Service Rep(07464) - 8508 W Sahara Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,Dominos,2018-04-01,Delivery Driver(07495) - 6441 N Durango Dr,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,Entercom Communications,2018-04-01,"Account Executive, Las Vegas",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Watkins & Shepard Trucking Inc,2018-04-01,CDL-A Driver Team Drivers - Get paid for your experience  Watkins & Shepard Trucking,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Advance Auto Parts,2018-04-01,General Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,DaVita,2018-04-01,"Physician, Hospitalist, Laborist",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,DaVita,2018-04-01,Hospitalist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,Dominos,2018-04-01,Customer Service Rep(07462) - 9310 S Eastern Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,Dominos,2018-04-01,Domino's Delivery Drivers (Greater Las Vegas Area),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,Dominos,2018-04-01,Customer Service Rep(09043) - 1780 N Buffalo Dr Suite 115,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Dominos,2018-04-01,Delivery Driver(09043) - 1780 N Buffalo Dr Suite 115,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,CVS Health,2018-04-01,Pharmacy Technician,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,"ECCO USA, Inc.",2018-04-01,Third Keyholder,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,Fabulous Freddys Car Wash,2018-04-01,Car Wash - Durango,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,"ECCO USA, Inc.",2018-04-01,Brand Ambassador,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Entercom Communications,2018-04-01,Part Time On Air/Board Operator,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Fabulous Freddys Car Wash,2018-04-01,Gas Attendant - Summerlin,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,Werner Enterprises Inc,2018-04-01,CDL-A Truck Driver- Veteran Programs Available  Werner Enterprises,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,Atlantic Aviation,2018-04-01,LS - Line Service Technician (LAS),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,Watkins & Shepard Trucking Inc,2018-04-01,Recent CDL-A Graduates / Transitioning Military Drivers - Get Experience and a Great Career  Watkins & Shepard Trucking,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,Bahama Breeze,2018-04-01,Utility,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,DaVita,2018-04-01,"Physician, Hospitalist, Skilled Nursing Facility",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Dominos,2018-04-01,Delivery Driver(07470) - 1970 Village Center Cir,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,The Capital Grille,2018-04-01,Bartender,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,"Ewings Associates, Inc.",2018-04-01,"Open Enroller EVENT DATE: Nov 7 CITY: Las Vegas, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,Bahama Breeze,2018-04-01,Server,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,CRACKER BARREL,2018-04-01,Night Maintenance,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,Dorvin D Leis,2018-04-01,Sheet Metal Estimator / Project Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,CVS Health,2018-04-01,Pharmacy Technician - Target Store,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,The Capital Grille,2018-04-01,Host,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,DaVita,2018-04-01,Anesthesiologist,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,DaVita,2018-04-01,Nurse Anesthesiologist - CRNA,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,Chipotle Mexican Grill,2018-04-01,Restaurant Shift Supervisor,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,Dollar General,2018-04-01,"ASST STORE MGR in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,Dollar General,2018-04-01,"STORE NON FOOD MGR - DG MKT in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,CVS Health,2018-04-01,Retail Store Associate,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,Dominos,2018-04-01,Delivery Driver(07456) - 3395 E Tropicana Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,Dominos,2018-04-01,Assistant Manager(07462) - 9310 S Eastern Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,Dominos,2018-04-01,Delivery Driver(07462) - 9310 S Eastern Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,Dominos,2018-04-01,Delivery Driver(07450) - 4966 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,Dominos,2018-04-01,Customer Service Rep(07443) - 5355 S Decatur Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,Dominos,2018-04-01,Delivery Driver(07458) - 6101 W Charleston Blvd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,Dominos,2018-04-01,Customer Service Rep(07455) - 4604 W Sahara Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,Dominos,2018-04-01,Customer Service Rep(09030) - 4860 Blue Diamond Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,Dominos,2018-04-01,Delivery Driver(07465) - 4418 N Rancho Dr,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,Dominos,2018-04-01,Assistant Manager(07457) - 2585 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Dominos,2018-04-01,Domino's AM (Greater Las Vegas Area),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,CVS Health,2018-04-01,Shift Supervisor Management Trainee,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,"Ewings Associates, Inc.",2018-04-01,Healthcare Network Development Manager (TC2017-28),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,"Ewings Associates, Inc.",2018-04-01,Tricare Network Development Manager,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,DaVita,2018-04-01,Seeking Ob-Gyn Generalist to Join Growing Group in Las Vegas,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Dollar General,2018-04-01,"STORE FOOD MANAGER - DG MKT in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,Dollar General,2018-04-01,"REC/PRICING LEAD ASSOC-DG MKT in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
132,Dollar General,2018-04-01,"ASST STORE MGR PERISHABLES in LAS VEGAS, NV",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,Dominos,2018-04-01,Customer Service Rep(07465) - 4418 N Rancho Dr,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,Dominos,2018-04-01,Delivery Driver(07457) - 2585 S Maryland Pkwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,Dominos,2018-04-01,Delivery Driver(07272) - 9435 W Tropicana Ave,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,Dominos,2018-04-01,Delivery Driver(07459) - 4150 Boulder Hwy,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,Dominos,2018-04-01,Customer Service Rep(07418) - 7591 N Cimarron Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,Dominos,2018-04-01,Customer Service Rep(07470) - 1970 Village Center Cir,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Dominos,2018-04-01,Assistant Manager(09030) - 4860 Blue Diamond Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,Dominos,2018-04-01,Delivery Driver(07461) - 4515 E Bonanza Rd,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Dominos,2018-04-01,Delivery Expert(09038) - 5831 E Charleston,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,Fabulous Freddys Car Wash,2018-04-01,Car Wash - Montecito,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,DSW,2018-04-01,Loss Prevention Supervisor Job,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
