,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Consultancy Jobs,Customer Services Jobs,Domestic help & Cleaning Jobs,"Energy, Oil & Gas Jobs",Engineering Jobs,Graduate Jobs,HR & Recruitment Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Scientific & QA Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
13,ACDi,2018-08-01,"Analyst, Business Systems-92132",Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,ACDi,2018-08-01,Corporate Administration Human Resources Specialist - 42831,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,Macquarie Group,2018-09-01,Full Stack Developer- Risk & Rates,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,C.R. England,2018-09-01,We're Hiring Truck Drivers - Immediate Opportunities,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Macquarie Group,2018-09-01,Cyber Security Analyst,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Macquarie Group,2018-09-01,Credit Risk - Analyst,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,First Future,2018-09-01,Online ESL- English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,First Future,2018-09-01,Online ESL Teachers for Chinese stude,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,BlingABC by XDF,2018-09-01,Teach English Online From Home,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,First Future,2018-09-01,Part-time English Teacher working onl,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,First Future,2018-09-01,"ESL teacher,high salary,no commuting",Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,ESL Suite,2018-09-01,Online EFL/English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,First Future,2018-09-01,Online ESL English Teacher Wanted,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Macquarie Group,2018-09-01,"Senior Manager, Sourcing & Vendor Management","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,BlingABC by XDF,2018-10-01,Online ESL teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Weatherford,2018-10-01,IES DOMAIN CHAMPION-WIRELINE,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Baker Hughes,2018-10-01,"Senior Commercialization Operations Manager (OFS) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Weatherford,2018-10-01,Sourcing Lead,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Oxy,2018-10-01,Advisor HES - Database Mgmt/Data Analytics,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Oxy,2018-10-01,Production Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Exxon Mobil,2018-10-01,Pricing Tactics Advisor,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,LyondellBasell,2018-10-01,Staff/Senior IT Auditor,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Amijag,2018-10-01,Marketing Intern,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Macquarie Group,2018-10-01,Real Time Trader,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Shell,2018-10-01,"Maritime/ Naval Project Manager (Houston, TX)","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Baker Hughes,2018-10-01,"Senior Program Manager, Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,NOV,2018-10-01,Global DSE & Reliability Senior Director,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NOV,2018-10-01,Warehouser - Night Shift,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,NOV,2018-10-01,Thermal Processing Operator II,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,TechnipFMC,2018-10-01,Strategy Analyst - Corporate Development & M&A,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,TechnipFMC,2018-10-01,Designer II,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Baker Hughes,2018-10-01,"Senior Manager, Commercial Management (CWI) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,NOV,2018-10-01,Software/Electrical Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,NOV,2018-10-01,Materials Coordinator,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Baker Hughes,2018-10-01,Sales Inventory and Operations Planning Leader (Drilling and Completion Fluids) Houston Texas,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,NOV,2018-10-01,Electrical Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Fluor,2018-10-01,"Spec I, Material Mgmt",Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Leidos,2018-10-01,Research Scientist,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Brunel,2018-10-01,Recruiter,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Macquarie Group,2018-10-01,Energy Quantitative Analyst,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Macquarie Group,2018-10-01,Commodities Compliance - Senior Manager,Consultancy Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,TechnipFMC,2018-10-01,Financial Reporting Accountant,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Wood,2018-10-01,Project Technical Professional II,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Wood,2018-10-01,Project Manager \u2013 Water / Wastewater Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,TechnipFMC,2018-10-01,Accountant II,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Brunel,2018-10-01,SCADA Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,NOV,2018-10-01,Customer Experience Product Manager,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,NES Global Talent,2018-10-01,Rotating Equipment Reliability Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Oxy,2018-10-01,Process Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Oxy,2018-10-01,Sr Reservoir Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,LyondellBasell,2018-10-01,"Technician, Analytical Laboratory",Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,NOV,2018-10-01,EBS Order Mangement User Support Analyst,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Shell,2018-10-01,"Scheduler - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Brunel,2018-10-01,SCADA Technician,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,C.R. England,2018-10-01,Recent Grad CDL-A Truck Driver - Paid Training,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,TechnipFMC,2018-10-01,HSE Specialist,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,TechnipFMC,2018-10-01,Training Planner,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Baker Hughes,2018-10-01,"Product Champion – Wireline Mineralogy & Geology Services (Houston, TX)","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Baker Hughes,2018-10-01,"Product Champion – Wireline Formation Testing and Sampling (Houston, TX)","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Baker Hughes,2018-10-01,"Product Champion – Wireline Petrophysics Services (Houston, TX)","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Baker Hughes,2018-10-01,"Account Manager (City Sales) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,NOV,2018-10-01,CNC Machinist,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Oxy,2018-10-01,Financial Analyst – Marketing Accounting,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Forum,2018-10-01,"Controller, Downhole Products","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,LyondellBasell,2018-10-01,SR Talent Acquisition Consultant,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Shell,2018-10-01,"SAP Technical Consultant – Operations - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Baker Hughes,2018-10-01,"Global Category Director – Chemicals & Minerals (OFS), Houston or Sugar Land, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,NOV,2018-10-01,Planner,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,LyondellBasell,2018-10-01,Facilities Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,LyondellBasell,2018-10-01,ITS Business Partner - Treasury,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Baker Hughes,2018-10-01,"Field Specialist (In-Line Inspection) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,NOV,2018-10-01,Field Service Technician,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Forum,2018-10-01,Accountant II,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Baker Hughes,2018-10-01,"Product Champion – Wireline Coring Services (Houston, TX)","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,NOV,2018-10-01,Global Wireline Aftermarket Strategy Manager,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Jacobs,2018-10-01,Software Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Jacobs,2018-10-01,Manufacturing Operations Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Jacobs,2018-10-01,Spacecraft Simulation Lab Administrator,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Jacobs,2018-10-01,Buildings Commissioning Specialist,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,TechnipFMC,2018-10-01,Lead Rotating Equipment Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,TechnipFMC,2018-10-01,Heat Transfer Engineer,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Jacobs,2018-10-01,Software Developer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Jacobs,2018-10-01,Facilities Support Associate- Invoicing & Fleet,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Jacobs,2018-10-01,Senior Civil Designer-Land Development,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Jacobs,2018-10-01,Piping Designer- PDMS,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Jacobs,2018-10-01,Environmental Scientist/Planner,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Jacobs,2018-10-01,Principal Technologist - Upstream Water Treatment,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Jacobs,2018-10-01,Civil Engineering Intern,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Jacobs,2018-10-01,Communication Systems Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Jacobs,2018-10-01,Midstream I&E Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Jacobs,2018-10-01,Client Account Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Weatherford,2018-10-01,BUYER II- Oil and Gas,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Baker Hughes,2018-10-01,"Manufacturing Specialist (Wireline) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Baker Hughes,2018-10-01,"Senior Staff Risk Advisor (Digital Technology) - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Oxy,2018-10-01,Eng Consultant Facilities,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Jacobs,2018-10-01,Application Developer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Jacobs,2018-10-01,Project Coordinator,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Jacobs,2018-10-01,Smart Plant Foundation Administrator,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Jacobs,2018-10-01,Jacobs Consultancy: Sr. Consultant- Environmental/Social,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jacobs,2018-10-01,Lead Facilities Support Associate-AutoCAD experience,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Jacobs,2018-10-01,Administrative Assistant,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Jacobs,2018-10-01,Spectrum Communication Systems Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Jacobs,2018-10-01,Engineer- New Grad Fall 2018,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Jacobs,2018-10-01,Telecom Tower Tophand,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Jacobs,2018-10-01,Orion GN&C Trajectory Analyst,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Jacobs,2018-10-01,Intern (Electrical) Buildings Infrastructure Design (Summer 2019),Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Jacobs,2018-10-01,Micrometeoroid/Orbital Debris Risk Analysis Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Jacobs,2018-10-01,Flight Lab Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Jacobs,2018-10-01,Propulsion Engineer- Commercial Crew Propulsion Sub-Systems,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Jacobs,2018-10-01,Intern (Architecture) Buildings Infrastructure Design (Summer 2019),Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Jacobs,2018-10-01,Thermal Analysis Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Jacobs,2018-10-01,Midstream Engineer III,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Jacobs,2018-10-01,Spacecraft Software Oversight Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Jacobs,2018-10-01,Architecture Project Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Jacobs,2018-10-01,Transportation Project Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Jacobs,2018-10-01,Space Suit Systems Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Jacobs,2018-10-01,Midstream Project Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Jacobs,2018-10-01,Telecom Civil Engineering Project Manager (San Antonio),Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Jacobs,2018-10-01,Telecom Civil Engineering Project Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Siemens,2018-10-01,Buying Professional,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Siemens,2018-10-01,Marine CFD Applications Engineer - Advanced,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Weatherford,2018-10-01,"Construction Project Manager – Houston, Texas","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,WorleyParsons,2018-10-01,Compliance Engineer / Specialist,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,TechnipFMC,2018-10-01,Master Scheduler,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Jacobs,2018-10-01,Electronics Design Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Shell,2018-10-01,"Business Analyst - FSS and HR - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Baker Hughes,2018-10-01,"Machinist - Wireline Shape Charge Tool & Die - Houston, TX","Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Weatherford,2018-10-01,Buyer I,"Energy, Oil & Gas Jobs",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Jacobs,2018-10-01,Warehouse,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Jacobs,2018-10-01,SES Software Developer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Jacobs,2018-10-01,Workface Planner,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Jacobs,2018-10-01,Consultant- Refinery & Petrochemicals,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Jacobs,2018-10-01,Orion Backup Flight Software (BFS) Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Jacobs,2018-10-01,Intern (Mechanical) Buildings Infrastructure Design (Summer 2019),Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Jacobs,2018-10-01,System Engineer ATLAS/VIS,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Jacobs,2018-10-01,Avionics Test Rig Manager,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Jacobs,2018-10-01,Fracture Mechanics Engineer,Engineering Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
