,company,date,title,All_Sectors,Accounting & Finance Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Unknown
28,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
29,Winholt Equipment,2018-12-01,Metal Finisher/Polisher,Unknown,0,0,0,0,0,0,0,0,1
30,Winholt Equipment,2018-12-01,Welder,Unknown,0,0,0,0,0,0,0,0,1
31,Winholt Equipment,2018-12-01,Press Break/Shear Operator,Unknown,0,0,0,0,0,0,0,0,1
32,myHR Partner,2018-12-01,Human Resources Manager,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0
33,Health Network Laboratories,2018-12-01,Phlebotomist - 1251 PSC,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
34,Penske,2018-12-01,Diesel Technician/Mechanic III - Entry Level,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
35,"Advantage Engineers, LLC",2019-01-01,Geotechnical Specialist I,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
36,Diakon Logistics,2019-01-01,3PL Delivery Manager,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
37,Target Corporation,2019-01-01,Beauty Team Member,Retail Jobs,0,0,0,0,0,0,1,0,0
38,Hajoca Corporation,2019-01-01,Management Trainee,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
39,DLP Direct Lending Partners,2019-01-01,Credit Underwriter,Property Jobs,0,0,0,0,0,1,0,0,0
40,Penske,2019-01-01,Diesel Technician/Mechanic I,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
41,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,1,0
42,Army National Guard,2019-01-01,92Y Unit Supply Specialist - Warehouse Manager,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
43,Army National Guard,2019-01-01,92G Food Service Specialist,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
44,Army National Guard,2019-01-01,68W Health Care Specialist,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
45,Penske,2019-01-01,Customer Service Representative (Fueler/Washer/Detailer),Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
46,Core & Main,2019-01-01,Warehouse Associate I,Logistics & Warehouse Jobs,0,1,0,0,0,0,0,0,0
47,Michael Baker International,2019-01-01,Transportation Construction Inspector Supervisor,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
48,Michael Baker International,2019-01-01,Senior Land Development Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
49,Michael Baker International,2019-01-01,Transportation Construction Inspector,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
50,Michael Baker International,2019-01-01,Transportation Construction Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
51,Michael Baker International,2019-01-01,Transportation Assistant,"PR, Advertising & Marketing Jobs",0,0,0,0,1,0,0,0,0
52,JACK WILLIAMS TIRE CO,2019-01-01,Automotive Technician-Allentown,Manufacturing Jobs,0,0,1,0,0,0,0,0,0
53,JACK WILLIAMS TIRE CO,2019-01-01,Tire and Lube Technician-Allentown,Manufacturing Jobs,0,0,1,0,0,0,0,0,0
