,company,date,title,All_Sectors,Accounting & Finance Jobs,Admin Jobs,Engineering Jobs,Healthcare & Nursing Jobs,Hospitality & Catering Jobs,IT Jobs,Logistics & Warehouse Jobs,Manufacturing Jobs,Other/General Jobs,"PR, Advertising & Marketing Jobs",Property Jobs,Retail Jobs,Teaching Jobs,Trade & Construction Jobs,Travel Jobs,Unknown
19,"Stiles Machinery, Inc.",2018-11-01,Field Service Representative,Other/General Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,JBCSTYLE,2018-11-01,"Freelance Retail Support, San Jose",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,LaowaiCareer,2018-11-01,Work From Home Teaching English Onlin,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Vipkid,2018-11-01,Part Time - Online English Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,Vipkid,2018-11-01,[Remote] Part-time Online Teacher,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,VIPKid,2018-11-01,Online English Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,WUHAO HONG KONG LIMITED,2018-11-01,Part-time online ESL teaching,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Rubio's,2018-11-01,Be a Cook at Rubio's,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Rubio's,2018-11-01,Rubio's Shift Manager,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Rubio's,2018-11-01,Rubio's Shift Leader,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,VIPKid,2018-12-01,Online ESL Instructor - Remote,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Orkin,2018-12-01,TC Route Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,Orkin,2018-12-01,Commercial Pest Control Service Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,Transn IOL Technology Co..Ltd,2018-12-01,Comics Translation: Chinese-Spanish,Other/General Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,Orkin,2018-12-01,Residential Termite Sales Inspector,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,Rubio's,2018-12-01,Rubio's Assistant Manager,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Orkin,2018-12-01,Commerical Termite Sales Inspector,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,VIPKid,2018-12-01,Online English Teacher for Children,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37,Earl Enterprise,2018-12-01,Cook,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,Round1,2018-12-01,Customer Service Associate,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,One Access Medical Transportation,2018-12-01,Medical Transport Specialist (Driver for Patients),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,青尚国际,2018-12-01,$15 - $25/hr on-line teacher,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,Hewlett Packard Enterprise,2018-12-01,Business Operations Analyst,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Hewlett Packard Enterprise,2018-12-01,"Sales Consultant, Services","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,BCG Attorney Search,2018-12-01,Real Estate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,Pinnacle Property Management Services,2018-12-01,Leasing Consultant,Property Jobs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,Robert Half International Inc.,2018-12-01,Recruiting Manager RHFA AO 00420,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,Pulsic,2018-12-01,"National Accounts Sales Manager  San Jose, CA","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,Pathfinders Executive Search,2018-12-01,Corporate Controller,Trade & Construction Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,Francesca's Service Corporation,2018-12-01,Key Holder - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,Hewlett Packard Enterprise,2018-12-01,3PAR Senior Director Product Management,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,Sephora,2018-12-01,Skincare Advisor (Consultant),IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,Sephora,2018-12-01,Fragrance Advisor (Consultant),IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Sephora,2018-12-01,Make-up Advisor (Consultant),IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,"Francesca's Collections, Inc.",2018-12-01,Assistant Store Manager - Future Opportunities,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,Best Buy,2018-12-01,"Car Install Technician/ME Leader(MECP Basic), Geek Squad","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,"Samsung Semiconductor, Inc.",2018-12-01,Sr. Verification and Validation (V&V) Engineer,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Dufry Duty Free Store,2018-12-01,Service Sales Associate,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,infosys,2018-12-01,Principal Consultant - US,Other/General Jobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
58,"BDS Marketing, LLC.",2018-12-01,"Full Time Merchandise Display Market Lead - San Jose, CA",Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,Best Buy,2018-12-01,Inventory Specialist,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,Robert Half International Inc.,2018-12-01,"Division Director, Robert Half Technology Permanent Placement - San Jose","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,Best Buy,2018-12-01,Asset Protection Associate,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,Best Buy,2018-12-01,Geek Squad Consultation Agent,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,Orkin,2018-12-01,Outside Service Specialist/Technician,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,Best Buy,2018-12-01,Apple Mobile Master,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,UsaSurveyJob,2018-12-01,Work at Home Data Entry Clerk,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,Usa Survey Job,2018-12-01,Customer Service Representative - Part Time,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Usa Survey Job,2018-12-01,Work from Home - Data Entry Clerk,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Usa Survey Job,2018-12-01,work at home data entry,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Usa Survey Job,2018-12-01,Customer Service Agent - Work from Home,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Usa Survey Job,2018-12-01,Customer Service Representative,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Usa Survey Job,2018-12-01,Data Entry - Part Time,Admin Jobs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Best Buy,2018-12-01,Best Buy Sales Consultant – Lifestyles,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,Logistic Dynamics Inc.,2019-01-01,Freight Broker Agent - Experience Required,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,Lux Bus America,2019-01-01,Motor Coach Driver,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,XPO Logistics Freight Inc.,2019-01-01,Truck Driver / Home Daily,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,Lux Bus America,2019-01-01,Lead SPAB Trainer,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,Lux Bus America,2019-01-01,Diesel Mechanic,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
78,Lux Bus America,2019-01-01,Charter Driver,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
79,Lux Bus America,2019-01-01,Dispatcher,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,O'Reilly Auto Parts,2019-01-01,Retail Merchandise Stocker,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,UsaSurveyJob,2019-01-01,Data Entry Clerk - Work from Home,Retail Jobs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,Skyworks,2019-01-01,RF Test & Validation Engineer,IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,"Core Mark International, Inc.",2019-01-01,QA Auditor (Swing Shift),Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,HD Supply,2019-01-01,Outside Sales Account Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,Bird Rides,2019-01-01,Field Operations Associate (Remote),Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,COROVAN CORPORATION,2019-01-01,"Project Manager, Moving & Installation","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,BCG Attorney Search,2019-01-01,Trust and Estates Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,F5 Networks,2019-01-01,Sr. Product Marketing Manager,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,COROVAN CORPORATION,2019-01-01,Driver Class A,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,COROVAN CORPORATION,2019-01-01,"Mover, Commercial Office","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91,"41A F5 Networks, Inc.",2019-01-01,"Sr. Software Engineer, Cloud (Silverline)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,Best Buy,2019-01-01,Sales Consultant - Comp,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,Best Buy,2019-01-01,Sales Consultant - Home Theater,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,Robert Half International,2019-01-01,San Jose Perm LR,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,infosys,2019-01-01,Principal Consultant - US,IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,Simplexinfo,2019-01-01,DITA XML Engineer /Developer,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Worldwide Logistic Partners Inc,2019-01-01,Logistics Sales Professionals - Home Office,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Pathmark Transportation,2019-01-01,Freight Broker Agents / Agency Owners,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,ChanceLight,2019-01-01,Instructional Aide - Spectrum,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,Best Buy,2019-01-01,Connected Devices Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,Hewlett Packard Enterprise,2019-01-01,Staff Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,"Waste Connections US, Inc",2019-01-01,Driver.,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,"Core Mark International, Inc.",2019-01-01,Sales & Development Rep - San Jose,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,Tyler Search Consultants,2019-01-01,Trade Compliance Manager,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,F5 Networks,2019-01-01,"Lab Manager, Software Product Development","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,Swift Transportation,2019-01-01,Experienced CDL-A Truck Drivers,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,Lux Bus America,2019-01-01,Bus Detailer Lead,Travel Jobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,BCG Attorney Search,2019-01-01,Immigration Associate Attorney,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,Best Buy,2019-01-01,"Car Install (MECP Basic, Geek Squad)","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110,Best Buy,2019-01-01,Technician/Agent. Geek Squad Advance Repair,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,Best Buy,2019-01-01,Best Buy Mobile Sales Consultant,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,Trans Pak Inc,2019-01-01,CUSTOMER SERVICE REPRESENTATIVE WITH PROJECT MANAGEMENT EXPERIENCE,Manufacturing Jobs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,Best Buy,2019-01-01,Best Buy Store Phone Operator,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,Hewlett Packard Enterprise,2019-01-01,Software Engineer (Security),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,Hewlett Packard Enterprise,2019-01-01,Strategic Procurement Manager II,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,Consonus Rehab,2019-01-01,"Full-Time Physical Therapist Assistant (PTA) in San Jose, CA","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,Thermo Fisher Scientific,2019-01-01,"Lab Support Scientist, Pharma & BioPharma",Healthcare & Nursing Jobs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,HomeFirst Services,2019-01-01,Driver/Food Handler,Accounting & Finance Jobs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Cana H2R,2019-01-01,Oracle SCM Cloud Consultant,Engineering Jobs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,CORODATA CORPORATION,2019-01-01,Class C Pick-up & Delivery Driver,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
121,Rubio's,2019-01-01,San Jose Job Fair,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,EF English First,2019-01-01,English Teacher - Teach English in China,Teaching Jobs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,Francesca's Service Corporation,2019-01-01,Retail Sales Associate,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Rubio's,2019-01-01,Fast Casual General Manager,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,"ERM West, Inc.",2019-01-01,Principal Consultant - Health & Safety (Mid-Senior Level),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,Rubio's,2019-01-01,Restaurant Managers,Hospitality & Catering Jobs,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,"ERM West, Inc.",2019-01-01,Principal Consultant - EHS Compliance (Mid-Senior Level),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,"ERM West, Inc.",2019-01-01,Principal Consultant -Environmental Compliance (Mid-Senior Level),"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,Ferguson,2019-01-01,Counter Representative I,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,Arira Design,2019-01-01,Senior Hardware Design Engineer,IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,Avis Budget Group,2019-01-01,Operations Manager - Car Privilege & Bonus Plan,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,"Ferguson Enterprises, Inc.",2019-01-01,"Waterworks Outside Sales - Hayward, CA","PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,COROVAN CORPORATION,2019-01-01,Warehouse Worker,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Best Buy,2019-01-01,Microsoft Expert,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,HPE,2019-01-01,Storage Account Executive,IT Jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,Associated Students of San Jose State University,2019-01-01,Counter Clerk,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,HD Supply,2019-01-01,Dispatcher,Logistics & Warehouse Jobs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,Hewlett Packard Enterprise,2019-01-01,QA Automation Engineer,"PR, Advertising & Marketing Jobs",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
